../mahout/mahout-0.1/,../mahout/mahout-0.5/,AVG Mod,10.5457148289%,,../mahout/mahout-0.5/,../mahout/mahout-0.10.0/,AVG Mod,5.01627419355%,,../mahout/mahout-0.10.0/,../mahout/mahout-0.12.2/,AVG Mod,0.0852794361526%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderIRStatsEvaluator.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/eval/RecommenderIRStatsEvaluator.java,m,6.074%,, ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/EmailUtility.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/EmailUtility.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/email/EmailUtility.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityCountWritable.java,+,,, ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/FromEmailToDictionaryMapper.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/FromEmailToDictionaryMapper.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/email/FromEmailToDictionaryMapper.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityEntityWritable.java,+,,, ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToDictionaryReducer.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToDictionaryReducer.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToDictionaryReducer.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityPrefWritable.java,+,,, ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToPrefsDriver.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToPrefsDriver.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToPrefsDriver.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/EntityPrefWritableArrayWritable.java,+,,, ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToRecMapper.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToRecMapper.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToRecMapper.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/MaybePruneRowsMapper.java,+,,, ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToRecReducer.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToRecReducer.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MailToRecReducer.java,m,0.0%
C:/Users/jtshu/Documents/Research/mahout/mahout-0.1/mahout-0.1/core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommendedItemsWritable.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/RecommendedItemsWritable.java,m,4.114%,, ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MsgIdToDictionaryMapper.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MsgIdToDictionaryMapper.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/email/MsgIdToDictionaryMapper.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/TasteHadoopUtils.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterable.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterable.java,m,0.0%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterable.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterable.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/ToEntityPrefsMapper.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterator.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterator.java,m,2.411%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterator.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/DataFileIterator.java,m,0.0%
 ,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/core/src/main/java/org/apache/mahout/cf/taste/hadoop/ToItemPrefsMapper.java,+,,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.5/mahout-0.5/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/KDDCupDataModel.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/KDDCupDataModel.java,m,1.235%,,C:/Users/jtshu/Documents/Research/mahout/mahout-0.10.0/mahout-0.10.0/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/KDDCupDataModel.java,C:/Users/jtshu/Documents/Research/mahout/mahout-0.12.2/mahout-0.12.2/examples/src/main/java/org/apache/mahout/cf/taste/example/kddcup/KDDCupDataModel.java,m,0.0%
