../azureus/Azureus_2.2.0.2_source,../azureus/Azureus_2.3.0.2_source,AVG Mod,1.80888339223%,
,SUB,71,ADD,508,
C:/Users/jtshu/Documents/Research/azureus/Azureus_2.2.0.2_source/com/aelitis/azureus/core/AzureusCore.java,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/AzureusCore.java,m,3.885%
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/impl/DHTLog.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/impl/Test.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/DHTRouter.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/DHTRouterAdapter.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/DHTRouterContact.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/DHTRouterContactAttachment.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/DHTRouterFactory.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/DHTRouterStats.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/impl/DHTRouterContactImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/impl/DHTRouterImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/impl/DHTRouterNodeImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/impl/DHTRouterStatsImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/router/impl/Test.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransport.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportContact.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportException.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportFactory.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportFindValueReply.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportFullStats.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportListener.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportProgressListener.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportReplyHandler.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportReplyHandlerAdapter.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportRequestHandler.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportStats.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportTransferHandler.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/DHTTransportValue.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/loopback/DHTTransportLoopbackContactImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/loopback/DHTTransportLoopbackImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/loopback/DHTTransportLoopbackStatsImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/DHTTransportUDP.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/DHTTransportUDPContact.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTTransportUDPContactImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTTransportUDPImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTTransportUDPStatsImpl.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacket.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketData.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketReply.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketReplyError.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketReplyFindNode.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketReplyFindValue.java,+
 ,C:/Users/jtshu/Documents/Research/azureus/Azureus_2.3.0.2_source/com/aelitis/azureus/core/dht/transport/udp/impl/DHTUDPPacketReplyPing.java,+
